NAME,LUMG,P0,P1corr,EDOTcorr,B_S,ECut_HYB,TSband
J1036-8317,2.291812257776507e+33,0.0034099999,2.8954125873569534e-20,2.8827507648857996e+34,326909552.18351835,2.57,0.0
J1048+2339,1.0206138304208845e+33,0.0046700002,2.51085242926313e-20,9.732630324192141e+33,379187228.19182384,4.5,3.565492630004883
J1124-3653,1.464723888502326e+33,0.00241,5.9112903385830114e-21,1.6672122768537627e+34,119130069.10027617,3.45,2.453138828277588
J1125-5825,2.347974253149961e+33,0.0031000001,5.997675077811287e-20,7.947994309120627e+34,439776247.98491436,3.28,0.0
J1125-6014,3.6110607913167905e+32,0.00263,2.0770205476678827e-21,4.5074745595368985e+33,100394119.69589637,1.73,0.0
J1207-5050,9.200847117333758e+32,0.0048400001,5.881380043765944e-21,2.0478722848974583e+33,173694458.01425582,1.74,0.027983317151665688
J1227-4853,6.979371648533612e+33,0.0016899999,1.0675936837032202e-20,8.731838520793085e+34,151876675.20008644,5.5,2.343266725540161
J1231-1411,2.1325564400331305e+33,0.0036800001,7.176926131079212e-21,5.685317479138723e+33,282621404.0647839,2.55,11.277474403381348
J1301+0833,2.8829776192022835e+33,0.00184,6.890124242332498e-21,4.366498555658831e+34,140642560.6715053,2.48,4.157002925872803
J1302-3258,2.6702145416742005e+33,0.0037700001,4.903463214993041e-21,3.612755519214221e+33,159048774.19914332,2.41,1.9083935022354126
J1311-3430,1.8110584418793415e+34,0.0025599999,2.0512726611067327e-20,4.826844228835979e+34,234048747.3935448,5.06,17.472030639648438
J1312+0051,3.7785696856439764e+33,0.0042300001,8.695170126826117e-21,4.535411401308705e+33,272133149.5053055,1.93,2.4495835304260254
J1400-1431,5.930369166843254e+31,0.0030799999,3.616805728537129e-21,4.886892789401535e+33,151073812.4149261,1.98,0.5329344868659973
J1431-4715,1.7445641368365868e+33,0.0020099999,1.116598476882742e-20,5.428360234187279e+34,170449867.65571278,2.16,1.3618594408035278
J1446-4701,2.26363053980108e+33,0.0021899999,9.626861091797619e-21,3.6183631931463665e+34,148288527.00032574,3.86,3.6543571949005127
J1455-3330,6.356473389059472e+31,0.0079899998,2.3653044250610393e-20,1.8306548716287994e+33,445888013.6065633,1.45,0.0
J1513-2550,1.4268509460729422e+34,0.0021200001,2.0942012287155973e-20,8.677018083236837e+34,215953152.7106935,3.14,1.5764442682266235
J1514-4946,4.1272774500079225e+33,0.0035900001,1.7107829989426445e-20,1.4597257879154086e+34,262168939.64425156,4.39,2.032031536102295
J1536-4948,9.139782385364106e+33,0.0030799999,2.0656394917090126e-20,2.7910149162528346e+34,258487540.50679827,5.84,5.35058069229126
J1543-5149,2.7804966464494194e+33,0.0020600001,1.5981861707653733e-20,7.217476536975707e+34,184629948.07370952,3.3,0.0
J1544+4937,2.5260664033820842e+33,0.0021599999,2.143044691407789e-21,8.395175347892661e+33,83064865.55347177,3.53,0.0
J1600-3053,3.4150338643975385e+33,0.0035999999,8.518679923231664e-21,7.208162540134823e+33,187122265.66964096,3.08,0.7328696250915527
J1614-2230,1.51678378461596e+33,0.00315,3.980374177647371e-21,5.02749879844233e+33,176167648.07340893,2.08,0.4312482178211212
J1622-0315,1.3118456597508683e+33,0.00385,9.602478971554817e-21,6.642948919374532e+33,212204906.0091048,3.75,0.26369673013687134
J1628-3205,1.9230511782232217e+33,0.00321,9.979015316282926e-21,1.1910564044494045e+34,220544675.78027162,2.17,1.4626939296722412
J1630+3734,1.0061247521595217e+33,0.0033199999,8.037419716984623e-21,8.670859972789267e+33,190619271.54905954,1.86,0.7444242835044861
J1640+2224,6.2079369769309115e+32,0.0031600001,1.844969690910613e-21,2.3082757211617577e+33,95466997.39758189,2.34,0.0
J1653-0158,2.2493441236264597e+33,0.0019700001,1.3472883239952441e-21,6.956992548086396e+33,69565483.65956512,3.02,8.45177173614502
J1658-5324,1.9173545332905476e+33,0.00244,1.0778970123134631e-20,2.929324782870049e+34,165769435.93063635,1.92,0.8474593758583069
J1713+0747,1.497629796309541e+33,0.0045699999,8.246191504048336e-21,3.4108653984436594e+33,199752470.1647301,2.49,1.5114139318466187
J1730-2304,3.947425651649372e+32,0.0081200004,1.473006367656117e-20,1.0861660125493458e+33,409627521.2282287,1.18,0.0
J1732-5049,2.3671490359020682e+33,0.0053099999,1.137411211444517e-20,2.999119031787435e+33,277713390.67765135,2.89,1.095410704612732
J1741+1351,2.0327800225668558e+33,0.0037499999,2.8011084516525145e-20,2.096987743878634e+34,340600797.4283217,2.35,1.9202868938446045
J1744-1134,6.923294630614243e+32,0.0040699998,7.112662248638465e-21,4.16494009610275e+33,192927750.47332838,1.48,3.240816593170166
J1745+1017,1.340070221920809e+33,0.0026499999,2.0518855194778857e-21,4.352865927426361e+33,82686841.53510699,2.34,0.9136859774589539
J1747-4036,8.1799619675067255e+34,0.00165,1.2969482962487495e-20,1.1398050243608093e+35,149892877.3886058,2.89,1.7672559022903442
J1805+0615,9.510878314195985e+33,0.0021299999,1.8588799789619658e-20,7.594030506637048e+34,222817752.19001076,2.26,0.3027518689632416
J1810+1744,9.728961050705494e+33,0.00166,4.239677017588278e-21,3.6590491697071346e+34,88673747.80251637,3.7,6.623086452484131
