Name,LUMG,P,PdotCor,EdotCor,"BdotS,Cor",ECut_HYB,n_ECut_HYB
J2017+0603,8.339999999999999e+33,2.9,8.52e-21,1.3800000000000001e+34,159000000.0,3.85,347.9
J2017-1614,1.61e+33,2.31,2.41e-21,7.67e+33,75400000.0,4.13,65.6
J2021+3651,1.9099999999999998e+35,103.75,9.48e-14,3.35e+36,3170000000000.0,3.24,3851.9
J2021+4026,2.16e+35,265.33,5.48e-14,1.1599999999999999e+35,3860000000000.0,2.69,5037.0
J2022+3842,3.1699999999999998e+35,48.58,8.62e-14,2.97e+37,2070000000000.0,2.52,104.9
J2030+3641,4.55e+34,200.13,6.51e-15,3.2000000000000003e+34,1160000000000.0,1.97,553.1
J2030+4415,1.32e+33,227.07,5.05e-15,1.7000000000000002e+34,1080000000000.0,1.6,701.7
J2032+4127,5.280000000000001e+34,143.25,1.16e-14,1.5599999999999999e+35,1310000000000.0,4.01,433.8
J2039-3616,1.33e+33,3.27,6.34e-21,7.16e+33,146000000.0,2.41,76.0
J2039-5617,5.21e+33,2.65,1.2e-20,2.54e+34,180000000.0,4.41,124.2
J2042+0246,2.86e+32,4.53,1.41e-20,5.97e+33,255000000.0,1.08,159.1
J2043+1711,6.57e+33,2.38,4.8000000000000006e-21,1.41e+34,108000000.0,3.86,369.0
J2043+2740,2.3699999999999998e+33,96.13,1.24e-15,5.500000000000001e+34,349000000000.0,1.4,237.5
J2047+1053,3.98e+33,4.29,1.37e-20,6.83e+33,245000000.0,6.15,14.6
J2051-0827,6.46e+32,4.51,1.28e-20,5.499999999999999e+33,243000000.0,1.81,48.6
J2052+1219,1.7000000000000002e+34,1.99,2.0900000000000002e-21,1.05e+34,65200000.0,7.4,12.2
J2115+5448,8.099999999999999e+33,2.61,2.93e-20,6.5e+34,280000000.0,2.41,39.2
J2124-3358,7.8e+32,4.93,7.57e-21,2.49e+33,195000000.0,1.79,1423.3
J2129-0429,2.73e+33,7.61,2.3e-19,2.06e+34,1340000000.0,2.72,169.4
J2205+6012,5.6e+33,2.41,1.99e-20,5.62e+34,222000000.0,0.88,2.7
J2208+4056,3.15e+32,636.96,5.28e-15,8.07e+32,1860000000000.0,0.61,36.2
J2214+3000,1.41e+33,3.12,1.33e-20,1.72e+34,206000000.0,2.07,1186.7
J2215+5135,1.53e+34,2.61,2.38e-20,5.270000000000001e+34,252000000.0,4.55,128.2
J2229+6114,2.59e+35,51.65,7.53e-14,2.16e+37,2000000000000.0,4.84,1729.3
J2234+0944,5.95e+32,3.63,1.34e-20,1.11e+34,223000000.0,3.01,129.6
J2240+5832,6.22e+34,139.94,1.53e-14,2.2e+35,1480000000000.0,4.06,38.4
J2241-5236,3.25e+33,2.19,6.99e-21,2.6300000000000003e+34,125000000.0,1.93,723.9
J2256-1024,4.25e+33,2.29,1.16e-20,3.83e+34,165000000.0,2.58,150.3
J2302+4442,3.4699999999999996e+33,5.19,1.34e-20,3.77e+33,266000000.0,3.02,861.0
J2310-0555,1.62e+33,2.61,4.96e-21,1.1e+34,115000000.0,2.05,176.0
J2317+1439,2.13e+32,3.45,3.0000000000000003e-21,2.8899999999999997e+33,103000000.0,0.32,11.5
J2339-0533,5.9e+33,2.88,1.36e-20,2.25e+34,201000000.0,4.03,384.6
