name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW231120_022103,,,,,,,10.0,,,,,,,,,,,,,,,,,,1.6,0.9,,,
GW231119_075248,49.0,-13.0,22.0,33.0,-13.0,15.0,8.3,,,6700.0,-3700.0,5300.0,,,,82.0,-18.0,29.0,34.5,-7.9,12.4,0.99,-0.48,0.6,0.0029,0.99,79.0,-18.0,27.0
GW231118_090602,12.9,-3.1,12.4,7.4,-3.2,2.1,11.0,,,1360.0,-620.0,550.0,0.08,-0.09,0.33,20.6,-2.2,9.1,8.36,-0.56,0.79,0.26,-0.11,0.09,1e-05,0.99,19.6,-2.2,9.4
GW231118_071402,43.0,-10.0,15.0,29.0,-10.0,11.0,9.2,,,4300.0,-2300.0,3600.0,0.12,-0.28,0.29,72.0,-14.0,18.0,30.3,-6.1,8.0,0.69,-0.32,0.44,0.00022,0.99,69.0,-13.0,17.0
GW231118_005626,20.0,-5.0,7.5,10.8,-2.4,3.4,10.7,,,2190.0,-970.0,930.0,0.38,-0.11,0.1,31.0,-3.7,5.9,12.6,-1.1,1.6,0.39,-0.16,0.14,1e-05,0.99,29.4,-3.6,6.0
GW231114_043211,22.8,-6.3,9.2,8.2,-2.1,2.5,10.0,,,1390.0,-620.0,860.0,0.08,-0.16,0.21,31.1,-4.8,7.3,11.6,-1.1,1.1,0.26,-0.11,0.14,0.0001199999999999,0.99,30.1,-4.9,7.5
GW231113_200417,11.6,-2.4,5.1,7.4,-2.0,1.8,10.5,,,1160.0,-530.0,640.0,0.13,-0.08,0.15,19.2,-1.9,3.2,8.0,-0.64,0.68,0.23,-0.1,0.11,2.7e-05,0.99,18.3,-1.9,3.3
GW231113_150041,56.0,-22.0,38.0,29.0,-16.0,18.0,8.7,,,5200.0,-2800.0,5100.0,0.04,-0.37,0.39,85.0,-26.0,46.0,34.0,-11.0,18.0,0.8,-0.38,0.6,0.5,0.97,82.0,-25.0,44.0
GW231113_122623,39.8,-9.6,17.2,26.4,-9.5,8.9,8.6,,,3400.0,-1700.0,2400.0,0.33,-0.33,0.25,67.0,-13.0,16.0,27.9,-5.5,6.3,0.56,-0.25,0.32,0.063,0.99,63.0,-12.0,15.0
GW231113_112825,,,,,,,7.8,,,,,,,,,,,,,,,,,,14.0,0.51,,,
GW231113_062050,,,,,,,8.5,,,,,,,,,,,,,,,,,,5.4,0.71,,,
GW231110_040320,19.4,-4.0,5.8,12.6,-2.9,3.0,11.5,,,1890.0,-910.0,850.0,0.17,-0.12,0.13,32.2,-3.3,4.3,13.4,-1.1,1.7,0.35,-0.15,0.13,1e-05,0.99,30.6,-3.3,4.3
GW231108_125142,23.2,-3.6,5.5,17.4,-3.2,3.2,12.6,,,2050.0,-890.0,750.0,-0.08,-0.15,0.13,40.6,-3.3,5.1,17.3,-1.3,2.1,0.37,-0.15,0.11,1e-05,0.99,38.9,-3.2,4.9
GW231104_133418,12.2,-2.0,4.4,8.6,-2.2,1.8,11.8,,,1470.0,-660.0,540.0,0.14,-0.07,0.11,21.0,-1.7,2.7,8.84,-0.56,0.87,0.28,-0.11,0.09,1e-05,0.99,20.0,-1.6,2.7
GW231102_232433,,,,,,,7.6,,,,,,,,,,,,,,,,,,2.5,0.8,,,
GW231102_071736,61.0,-12.0,14.0,42.0,-13.0,13.0,15.6,,,3800.0,-1800.0,2100.0,0.06,-0.22,0.22,102.0,-13.0,21.0,43.3,-6.3,9.5,0.63,-0.26,0.27,1e-05,0.99,98.0,-13.0,19.0
GW231102_052214,,,,,,,7.9,,,,,,,,,,,,,,,,,,4.0,0.72,,,
GW231029_111508,65.0,-14.0,18.0,42.0,-15.0,15.0,10.8,,,3100.0,-1700.0,2400.0,0.14,-0.23,0.24,106.0,-16.0,22.0,44.4,-8.0,10.4,0.53,-0.26,0.32,5.1e-05,0.99,101.0,-16.0,21.0
GW231028_153006,94.0,-19.0,32.0,59.0,-24.0,21.0,22.4,,,4200.0,-1900.0,1300.0,0.45,-0.19,0.16,153.0,-14.0,29.0,63.0,-9.7,13.1,0.68,-0.26,0.17,1e-05,0.99,144.0,-13.0,27.0
GW231026_130704,34.0,-11.0,27.0,20.8,-8.2,9.8,8.3,,,4400.0,-2400.0,4000.0,0.03,-0.36,0.36,55.0,-14.0,29.0,22.8,-5.7,10.3,0.71,-0.33,0.49,0.7599999999999999,0.95,53.0,-13.0,28.0
GW231025_142306,,,,,,,8.3,,,,,,,,,,,,,,,,,,5.3,0.71,,,
GW231024_023603,,,,,,,8.3,,,,,,,,,,,,,,,,,,14.0,0.51,,,
GW231020_142947,12.0,-2.6,8.4,7.4,-2.8,2.0,12.0,,,1230.0,-640.0,510.0,0.14,-0.12,0.24,19.8,-2.1,5.4,8.07,-0.52,0.83,0.24,-0.12,0.08,1e-05,0.99,18.8,-2.0,5.6
GW231018_233037,11.6,-2.4,5.1,7.3,-2.1,1.9,9.1,,,1540.0,-740.0,740.0,0.01,-0.13,0.17,19.0,-2.0,3.4,7.9,-0.67,0.89,0.29,-0.13,0.12,0.68,0.93,18.2,-1.9,3.5
GW231014_040532,20.6,-4.0,7.9,14.7,-4.2,3.8,9.0,,,2300.0,-1200.0,1400.0,0.18,-0.28,0.26,35.6,-4.7,6.8,15.0,-1.9,2.6,0.42,-0.19,0.2,0.21,0.98,33.8,-4.4,6.5
GW231013_135504,,,,,,,8.4,,,,,,,,,,,,,,,,,,15.0,0.53,,,
GW231008_142521,45.0,-12.0,17.0,25.6,-9.7,10.7,9.3,,,3000.0,-1300.0,2500.0,-0.01,-0.28,0.25,71.0,-13.0,16.0,29.0,-5.7,6.9,0.51,-0.2,0.33,0.0015,0.99,69.0,-13.0,15.0
GW231007_134720,,,,,,,8.1,,,,,,,,,,,,,,,,,,8.3,0.63,,,
GW231005_144455,,,,,,,7.3,,,,,,,,,,,,,,,,,,14.0,0.52,,,
GW231005_091549,28.8,-6.1,10.1,21.2,-6.2,6.3,11.0,,,3800.0,-1900.0,2500.0,-0.03,-0.26,0.24,50.2,-8.3,11.3,21.3,-3.5,4.8,0.62,-0.27,0.32,0.04,0.99,48.0,-7.9,10.8
GW231005_021030,84.0,-23.0,29.0,50.0,-20.0,22.0,10.4,,,6300.0,-3200.0,4600.0,0.1,-0.37,0.36,133.0,-25.0,38.0,54.0,-11.0,17.0,0.93,-0.42,0.53,0.01,0.99,127.0,-25.0,36.0
GW231004_232346,64.0,-18.0,25.0,35.0,-14.0,16.0,8.9,,,4400.0,-2300.0,3700.0,-0.04,-0.37,0.3,99.0,-19.0,27.0,40.0,-8.6,11.5,0.7,-0.32,0.45,0.16,0.97,96.0,-19.0,26.0
GW231002_143916,,,,,,,9.4,,,,,,,,,,,,,,,,,,1.0,0.9,,,
GW231001_140220,76.0,-22.0,25.0,41.0,-16.0,18.0,11.5,,,4400.0,-2400.0,3900.0,-0.04,-0.35,0.33,116.0,-23.0,31.0,46.6,-9.9,13.8,0.7,-0.34,0.47,1.5e-05,0.99,111.0,-22.0,29.0
GW230930_110730,34.5,-7.9,13.2,24.4,-7.5,8.4,9.0,,,4900.0,-2500.0,3200.0,0.02,-0.27,0.26,59.0,-10.0,15.0,24.8,-4.1,6.5,0.76,-0.34,0.38,0.0949999999999999,0.99,56.3,-9.6,14.5
GW230928_215827,54.0,-16.0,19.0,29.0,-11.0,13.0,10.5,,,4900.0,-2500.0,4000.0,0.4,-0.28,0.2,83.0,-18.0,22.0,33.6,-7.4,9.9,0.77,-0.34,0.48,1.3999999999999998e-05,0.99,79.0,-17.0,21.0
GW230927_153832,21.7,-2.8,3.8,16.6,-2.6,2.5,20.3,,,1190.0,-540.0,370.0,0.03,-0.08,0.08,38.3,-2.1,3.3,16.37,-0.8,1.43,0.23,-0.1,0.06,1e-05,0.99,36.5,-2.1,3.1
GW230927_043729,35.0,-6.2,8.6,27.1,-6.5,7.3,12.1,,,3200.0,-1700.0,1800.0,0.01,-0.22,0.21,61.9,-8.2,12.6,26.5,-3.5,5.6,0.55,-0.26,0.24,1e-05,0.99,59.0,-7.8,11.8
GW230925_143957,,,,,,,8.0,,,,,,,,,,,,,,,,,,8.2,0.55,,,
GW230924_124453,28.8,-4.0,5.7,23.2,-4.3,4.4,13.5,,,2400.0,-1000.0,1000.0,0.02,-0.18,0.18,51.8,-4.9,7.1,22.3,-2.1,3.1,0.42,-0.16,0.15,1e-05,0.99,49.4,-4.6,6.7
GW230922_040658,76.0,-18.0,28.0,51.0,-24.0,22.0,12.5,,,6500.0,-3500.0,4100.0,0.31,-0.31,0.26,125.0,-21.0,37.0,52.0,-11.0,17.0,0.96,-0.45,0.47,1e-05,0.99,119.0,-21.0,34.0
GW230922_020344,39.3,-6.4,10.2,29.2,-6.2,5.6,13.4,,,1640.0,-740.0,730.0,0.03,-0.2,0.2,68.7,-6.6,9.1,29.2,-2.7,3.7,0.31,-0.13,0.11,1e-05,0.99,65.4,-6.2,8.6
GW230920_071124,32.4,-6.2,9.1,23.8,-6.8,6.6,11.1,,,2900.0,-1400.0,1800.0,,,,56.4,-8.0,10.3,23.9,-3.5,4.6,0.49,-0.21,0.24,1e-05,0.99,53.8,-7.6,9.6
GW230920_064709,,,,,,,9.5,,,,,,,,,,,,,,,,,,3.2,0.79,,,
GW230919_215712,27.3,-3.7,5.5,21.4,-4.2,3.5,16.8,,,1330.0,-510.0,790.0,0.18,-0.13,0.13,49.1,-4.5,4.2,21.0,-2.0,1.9,0.25,-0.09,0.13,1e-05,0.99,46.5,-4.3,4.0
GW230914_111401,60.0,-11.0,12.0,37.0,-12.0,13.0,17.2,,,2700.0,-1200.0,1600.0,0.12,-0.19,0.19,96.0,-10.0,15.0,39.8,-6.2,7.6,0.47,-0.19,0.22,1e-05,0.99,91.2,-9.9,14.2
GW230911_195324,33.9,-7.2,8.2,21.6,-5.6,5.7,11.1,,,1350.0,-710.0,1170.0,-0.02,-0.22,0.2,55.5,-7.1,8.0,23.2,-3.0,3.4,0.26,-0.13,0.18,0.001,0.99,53.1,-6.8,7.5
GW230904_152545,,,,,,,9.2,,,,,,,,,,,,,,,,,,4.4,0.75,,,
GW230904_051013,10.6,-1.9,4.2,7.1,-1.9,1.5,10.5,,,1030.0,-440.0,590.0,0.05,-0.07,0.15,17.9,-1.6,2.4,7.53,-0.59,0.54,0.2,-0.08,0.1,3.7e-05,0.99,17.1,-1.6,2.5
GW230902_224555,,,,,,,7.5,,,,,,,,,,,,,,,,,,14.0,0.51,,,
GW230902_172430,,,,,,,8.5,,,,,,,,,,,,,,,,,,10.0,0.6,,,
GW230902_150325,,,,,,,7.8,,,,,,,,,,,,,,,,,,7.400000000000001,0.65,,,
GW230902_122814,,,,,,,8.1,,,,,,,,,,,,,,,,,,2.0,0.84,,,
GW230831_134621,,,,,,,8.8,,,,,,,,,,,,,,,,,,2.8,0.8,,,
GW230831_015414,42.0,-11.0,18.0,30.0,-10.0,12.0,8.6,,,4900.0,-2900.0,4200.0,0.04,-0.3,0.29,73.0,-15.0,25.0,30.7,-6.5,10.5,0.77,-0.4,0.49,0.036,0.99,69.0,-14.0,24.0
GW230830_064744,,,,,,,8.5,,,,,,,,,,,,,,,,,,3.2,0.8,,,
GW230825_041334,44.0,-12.0,17.0,27.2,-8.8,12.0,8.8,,,4900.0,-2900.0,4200.0,0.29,-0.3,0.24,71.0,-16.0,22.0,29.5,-6.3,9.4,0.76,-0.4,0.51,0.093,0.99,67.0,-15.0,21.0
GW230824_135331,,,,,,,9.7,,,,,,,,,,,,,,,,,,6.2,0.58,,,
GW230824_033047,53.0,-11.0,16.0,36.0,-13.0,13.0,11.1,,,4700.0,-2300.0,2900.0,-0.01,-0.27,0.23,88.0,-13.0,20.0,36.9,-6.3,9.3,0.74,-0.32,0.35,1e-05,0.99,84.0,-13.0,19.0
GW230823_142524,,,,,,,8.8,,,,,,,,,,,,,,,,,,1.6,0.86,,,
GW230822_230337,,,,,,,8.3,,,,,,,,,,,,,,,,,,1.4,0.89,,,
GW230820_212515,62.0,-16.0,23.0,34.0,-18.0,18.0,9.3,,,4000.0,-2100.0,3000.0,0.21,-0.3,0.3,96.0,-17.0,22.0,38.5,-9.6,11.1,0.65,-0.3,0.37,0.24,0.98,92.0,-16.0,20.0
GW230819_171910,70.0,-21.0,43.0,35.0,-19.0,20.0,9.9,,,4100.0,-2200.0,3800.0,-0.04,-0.44,0.35,106.0,-22.0,38.0,42.0,-11.0,14.0,0.66,-0.31,0.47,0.011,0.99,102.0,-22.0,37.0
GW230817_212349,,,,,,,7.8,,,,,,,,,,,,,,,,,,2.0,0.86,,,
GW230814_230901,33.7,-2.2,2.9,28.2,-3.1,2.2,43.0,,,290.0,-130.0,180.0,-0.01,-0.07,0.06,61.9,-2.0,2.0,26.78,-1.03,0.88,0.06,-0.03,0.04,1e-05,0.99,59.0,-1.9,1.9
GW230814_061920,69.0,-18.0,20.0,42.0,-16.0,17.0,11.2,,,4000.0,-2000.0,3500.0,0.07,-0.28,0.29,111.0,-21.0,26.0,46.0,-10.0,12.0,0.64,-0.28,0.43,0.00059,0.99,106.0,-20.0,24.0
GW230811_032116,35.4,-7.3,8.6,22.3,-5.2,6.7,13.6,,,2100.0,-1100.0,1200.0,0.03,-0.18,0.18,57.9,-6.7,8.9,24.1,-2.5,4.1,0.38,-0.18,0.17,1e-05,0.99,55.3,-6.5,8.4
GW230807_205045,,,,,,,8.1,,,,,,,,,,,,,,,,,,2.9,0.82,,,
GW230806_204041,51.0,-12.0,18.0,35.0,-13.0,14.0,9.4,,,5500.0,-2900.0,3700.0,0.08,-0.27,0.27,86.0,-16.0,24.0,35.9,-7.0,10.7,0.84,-0.39,0.44,0.0035,0.99,82.0,-15.0,23.0
GW230805_034249,32.2,-7.3,12.3,22.6,-7.7,7.8,9.5,,,3500.0,-1700.0,2500.0,0.06,-0.28,0.27,54.9,-9.7,13.9,23.1,-4.2,5.9,0.58,-0.25,0.32,0.00029,0.99,52.4,-9.2,13.0
GW230803_033412,44.0,-12.0,19.0,29.0,-10.0,12.0,9.4,,,5000.0,-2600.0,4000.0,0.07,-0.32,0.3,73.0,-16.0,22.0,30.5,-6.7,9.2,0.78,-0.35,0.48,0.044,0.99,70.0,-15.0,21.0
GW230731_215307,10.3,-1.3,2.8,7.9,-1.7,1.2,12.2,,,1100.0,-460.0,350.0,-0.05,-0.06,0.11,18.3,-1.0,1.6,7.78,-0.37,0.58,0.22,-0.08,0.06,1e-05,0.99,17.4,-1.0,1.6
GW230729_082317,12.3,-2.7,7.6,7.6,-2.6,2.1,9.5,,,1640.0,-770.0,820.0,0.12,-0.13,0.22,20.3,-2.4,4.9,8.34,-0.76,0.94,0.31,-0.13,0.13,0.17,0.98,19.3,-2.3,5.1
GW230728_083628,,,,,,,13.1,,,,,,,,,,,,,,,,,,1.4,0.89,,,
GW230726_002940,35.6,-5.9,8.9,27.9,-5.9,6.0,10.5,,,2100.0,-1000.0,1300.0,-0.02,-0.23,0.21,63.6,-7.9,10.3,27.2,-3.4,4.4,0.37,-0.17,0.19,1e-05,0.99,60.6,-7.4,9.7
GW230723_101834,16.6,-3.3,5.6,10.6,-2.7,3.0,10.1,,,1610.0,-930.0,680.0,-0.18,-0.16,0.19,27.5,-2.6,3.9,11.4,-0.91,1.59,0.3,-0.16,0.11,0.00022,0.99,26.4,-2.6,3.8
GW230723_084820,,,,,,,8.4,,,,,,,,,,,,,,,,,,3.9,0.64,,,
GW230721_222634,,,,,,,7.9,,,,,,,,,,,,,,,,,,4.1,0.73,,,
GW230717_102139,,,,,,,8.3,,,,,,,,,,,,,,,,,,6.8,0.67,,,
GW230712_090405,32.0,-10.0,16.0,12.5,-5.2,15.3,9.5,,,2000.0,-1000.0,2400.0,-0.02,-0.31,0.35,46.0,-10.0,22.0,16.2,-2.9,11.5,0.37,-0.17,0.34,0.018,0.99,44.0,-10.0,21.0
GW230709_122727,45.0,-11.0,16.0,30.0,-13.0,12.0,10.2,,,4700.0,-2500.0,3500.0,0.08,-0.31,0.31,74.0,-14.0,20.0,30.9,-6.8,9.3,0.74,-0.35,0.43,0.00097,0.99,71.0,-13.0,19.0
GW230709_063445,,,,,,,7.9,,,,,,,,,,,,,,,,,,3.3,0.8,,,
GW230708_230935,64.0,-15.0,20.0,40.0,-15.0,14.0,10.0,,,3500.0,-1600.0,2300.0,0.01,-0.29,0.28,103.0,-15.0,22.0,42.6,-7.7,9.7,0.59,-0.24,0.3,0.001,0.99,99.0,-15.0,21.0
GW230708_071859,,,,,,,9.1,,,,,,,,,,,,,,,,,,1.4,0.89,,,
GW230708_053705,29.1,-5.4,8.2,22.7,-5.3,5.6,8.9,,,3300.0,-1700.0,2100.0,0.06,-0.24,0.23,51.9,-7.7,10.2,22.2,-3.3,4.4,0.55,-0.25,0.27,0.028,0.99,49.4,-7.3,9.6
GW230707_124047,46.1,-8.3,12.2,36.3,-9.6,10.6,11.9,,,4400.0,-2300.0,2400.0,-0.05,-0.28,0.25,82.0,-12.0,20.0,35.1,-5.3,8.6,0.71,-0.32,0.29,0.00042,0.99,78.0,-11.0,19.0
GW230706_104333,16.3,-3.0,5.3,11.5,-2.7,2.6,9.2,,,1910.0,-970.0,930.0,0.19,-0.13,0.13,28.0,-3.0,4.3,11.8,-1.1,1.6,0.35,-0.16,0.14,0.2199999999999999,0.99,26.6,-2.8,4.1
GW230704_212616,89.0,-27.0,40.0,50.0,-25.0,30.0,8.7,,,7300.0,-4200.0,6200.0,0.27,-0.43,0.35,139.0,-32.0,50.0,56.0,-15.0,23.0,1.06,-0.54,0.68,0.51,0.93,132.0,-31.0,47.0
GW230704_021211,32.6,-8.0,11.8,20.0,-5.9,6.6,9.4,,,2700.0,-1500.0,1900.0,-0.01,-0.24,0.21,53.0,-8.2,10.9,21.9,-3.2,4.4,0.47,-0.23,0.26,0.037,0.99,50.7,-7.9,10.6
GW230702_185453,40.0,-13.0,21.0,18.0,-6.6,8.8,10.1,,,2500.0,-1100.0,2000.0,0.05,-0.26,0.3,60.0,-11.0,15.0,22.9,-3.6,4.1,0.44,-0.18,0.27,1e-05,0.99,57.0,-11.0,16.0
GW230702_162025,,,,,,,9.2,,,,,,,,,,,,,,,,,,6.5,0.6,,,
GW230630_234532,10.0,-1.9,3.6,6.6,-1.6,1.5,9.9,,,1090.0,-490.0,520.0,-0.04,-0.09,0.16,16.8,-1.4,2.2,7.06,-0.48,0.56,0.21,-0.09,0.09,0.00042,0.99,16.1,-1.4,2.2
GW230630_125806,51.0,-15.0,20.0,33.0,-13.0,15.0,9.0,,,5400.0,-3000.0,5100.0,0.18,-0.3,0.3,84.0,-19.0,26.0,35.0,-8.4,11.4,0.83,-0.41,0.59,0.048,0.99,80.0,-18.0,24.0
GW230630_070659,,,,,,,9.8,,,,,,,,,,,,,,,,,,0.47,0.96,,,
GW230628_231200,32.5,-3.9,6.1,27.0,-5.2,4.9,16.4,,,2260.0,-1080.0,790.0,-0.01,-0.17,0.16,59.2,-4.9,8.5,25.5,-2.2,3.8,0.4,-0.17,0.12,1e-05,0.99,56.4,-4.5,8.0
GW230627_015337,8.4,-1.3,1.7,5.74,-0.92,0.99,28.7,,,305.0,-139.0,65.0,0.02,-0.04,0.08,14.22,-0.47,0.79,6.02,-0.07,0.17,0.07,-0.03,0.01,1e-05,0.99,13.57,-0.48,0.83
GW230625_211655,,,,,,,8.1,,,,,,,,,,,,,,,,,,9.8,0.61,,,
GW230624_214944,,,,,,,10.6,,,,,,,,,,,,,,,,,,2.2,0.74,,,
GW230624_113103,27.1,-6.8,14.0,16.1,-4.5,4.8,11.4,,,1930.0,-970.0,1270.0,0.17,-0.25,0.29,43.7,-6.5,11.3,18.0,-2.3,3.2,0.35,-0.16,0.19,0.00017,0.99,41.7,-6.2,11.0
GW230618_102550,,,,,,,7.8,,,,,,,,,,,,,,,,,,11.0,0.6,,,
GW230615_160825,,,,,,,8.9,,,,,,,,,,,,,,,,,,4.1,0.76,,,
GW230610_061439,,,,,,,8.3,,,,,,,,,,,,,,,,,,13.0,0.53,,,
GW230609_064958,35.4,-7.0,10.7,25.2,-7.4,7.6,10.6,,,3400.0,-1800.0,1900.0,-0.14,-0.27,0.22,60.5,-8.3,12.7,25.6,-3.7,5.6,0.56,-0.26,0.25,0.0001,0.99,58.0,-7.9,12.1
GW230609_010824,,,,,,,8.0,,,,,,,,,,,,,,,,,,2.7,0.85,,,
GW230608_205047,48.0,-11.0,13.0,31.0,-10.0,11.0,10.2,,,3500.0,-1700.0,2200.0,0.04,-0.26,0.25,79.0,-11.0,16.0,32.7,-5.4,7.3,0.58,-0.25,0.29,0.0011,0.99,75.0,-11.0,15.0
GW230606_065320,,,,,,,12.6,,,,,,,,,,,,,,,,,,7.900000000000001,0.64,,,
GW230606_024545,,,,,,,7.5,,,,,,,,,,,,,,,,,,1.5,0.88,,,
GW230606_004305,37.6,-7.6,13.3,25.7,-8.3,8.2,11.1,,,2800.0,-1400.0,1500.0,-0.11,-0.31,0.26,63.4,-8.4,13.5,26.5,-3.6,5.7,0.48,-0.22,0.21,0.00041,0.99,60.8,-8.0,12.8
GW230605_065343,17.4,-3.6,6.6,11.0,-2.7,2.5,11.4,,,1060.0,-480.0,610.0,0.06,-0.1,0.16,28.6,-2.8,4.1,11.95,-0.94,0.94,0.21,-0.09,0.1,1e-05,0.99,27.3,-2.8,4.2
GW230603_174756,,,,,,,8.0,,,,,,,,,,,,,,,,,,4.0,0.79,,,
GW230601_224134,64.0,-13.0,17.0,44.0,-15.0,14.0,13.4,,,3700.0,-1800.0,2100.0,-0.03,-0.32,0.27,107.0,-15.0,22.0,45.1,-7.4,9.8,0.6,-0.26,0.27,1e-05,0.99,102.0,-14.0,21.0
GW230531_141100,,,,,,,8.0,,,,,,,,,,,,,,,,,,3.5,0.72,,,
GW230529_181500,3.66,-1.21,0.82,1.42,-0.22,0.6,11.8,,,203.0,-98.0,103.0,-0.1,-0.18,0.12,5.08,-0.6,0.61,1.94,-0.04,0.04,0.04,-0.02,0.02,0.00022,0.99,,,
GW230528_145129,,,,,,,8.8,,,,,,,,,,,,,,,,,,14.0,0.5,,,
GW230518_125908,8.17,-0.92,0.84,1.45,-0.1,0.13,14.1,,,236.0,-96.0,108.0,-0.01,-0.11,0.09,9.61,-0.79,0.76,2.8,-0.06,0.06,0.05,-0.02,0.02,1e-05,0.99,,,
GW230517_044807,,,,,,,11.8,,,,,,,,,,,,,,,,,,8.5,0.62,,,
GW200322_091133,38.0,-22.0,130.0,11.3,-6.0,24.3,4.5,-3.0,2.7,3500.0,-2200.0,12500.0,0.27,-0.58,0.54,50.0,-22.0,132.0,15.0,-4.0,29.5,0.59,-0.32,1.43,140.0,0.61501,48.0,-22.0,132.0
GW200316_215756,13.1,-2.9,10.2,7.8,-2.9,2.0,10.3,-0.7,0.4,1120.0,-440.0,480.0,0.13,-0.1,0.27,21.2,-2.0,7.2,8.75,-0.55,0.62,0.22,-0.08,0.08,1e-05,0.99,20.2,-1.9,7.4
GW200311_115853,34.2,-3.8,6.4,27.7,-5.9,4.1,17.8,-0.2,0.2,1170.0,-400.0,280.0,-0.02,-0.2,0.16,61.9,-4.2,5.3,26.6,-2.0,2.4,0.23,-0.07,0.05,1e-05,0.99,59.0,-3.9,4.8
GW200308_173609,60.0,-29.0,166.0,24.0,-13.0,36.0,4.7,-2.9,2.5,7100.0,-4400.0,13900.0,0.16,-0.49,0.58,92.0,-48.0,169.0,34.0,-18.0,44.0,1.04,-0.57,1.47,2.4,0.8566,88.0,-47.0,169.0
GW200306_093714,28.3,-7.7,17.1,14.8,-6.4,6.5,7.8,-0.6,0.4,2100.0,-1100.0,1700.0,0.32,-0.46,0.28,43.9,-7.5,11.8,17.5,-3.0,3.5,0.38,-0.18,0.24,24.0,0.81156,41.7,-6.9,12.3
GW200302_015811,37.8,-8.5,8.7,20.0,-5.7,8.1,10.8,-0.4,0.3,1480.0,-700.0,1020.0,0.01,-0.26,0.25,57.8,-6.9,9.6,23.4,-3.0,4.7,0.28,-0.12,0.16,0.11,0.90643,55.5,-6.6,8.9
GW200225_060421,19.3,-3.0,5.0,14.0,-3.5,2.8,12.5,-0.4,0.3,1150.0,-530.0,510.0,-0.12,-0.28,0.17,33.5,-3.0,3.6,14.2,-1.4,1.5,0.22,-0.1,0.09,1.1e-05,0.99,32.1,-2.8,3.5
GW200224_222234,40.0,-4.5,6.7,32.7,-7.2,4.8,20.0,-0.2,0.2,1710.0,-650.0,500.0,0.1,-0.16,0.15,72.3,-5.3,7.2,31.1,-2.7,3.3,0.32,-0.11,0.08,1e-05,0.99,68.7,-4.8,6.7
GW200220_124850,38.9,-8.6,14.1,27.9,-9.0,9.2,8.5,-0.5,0.3,4000.0,-2200.0,2800.0,-0.07,-0.33,0.27,67.0,-12.0,17.0,28.2,-5.1,7.3,0.66,-0.31,0.36,30.0,0.82579,64.0,-11.0,16.0
GW200220_061928,87.0,-23.0,40.0,61.0,-25.0,26.0,7.2,-0.7,0.4,6000.0,-3100.0,4800.0,0.06,-0.38,0.4,148.0,-33.0,55.0,62.0,-15.0,23.0,0.9,-0.4,0.55,6.8,0.62376,141.0,-31.0,51.0
GW200219_094415,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,3400.0,-1500.0,1700.0,-0.08,-0.29,0.23,65.0,-8.2,12.6,27.6,-3.8,5.6,0.57,-0.22,0.22,0.00099,0.99,62.2,-7.8,11.7
GW200216_220804,51.0,-13.0,22.0,30.0,-16.0,14.0,8.1,-0.5,0.4,3800.0,-2000.0,3000.0,0.1,-0.36,0.34,81.0,-14.0,20.0,32.9,-8.5,9.3,0.63,-0.29,0.37,0.35,0.77277,78.0,-13.0,19.0
GW200210_092254,24.1,-4.6,7.5,2.83,-0.42,0.47,8.4,-0.7,0.5,940.0,-340.0,430.0,0.02,-0.21,0.22,27.0,-4.3,7.1,6.56,-0.4,0.38,0.19,-0.06,0.08,1.2,0.54462,26.7,-4.3,7.2
GW200209_085452,35.6,-6.8,10.5,27.1,-7.8,7.8,9.6,-0.5,0.4,3400.0,-1800.0,1900.0,-0.12,-0.3,0.24,62.6,-9.4,13.9,26.7,-4.2,6.0,0.57,-0.26,0.25,0.046,0.97236,59.9,-8.9,13.1
GW200208_222617,51.0,-30.0,103.0,12.3,-5.5,9.2,7.4,-1.2,1.4,4100.0,-2000.0,4400.0,0.45,-0.46,0.42,63.0,-26.0,100.0,19.8,-5.2,10.5,0.66,-0.29,0.53,4.8,0.70006,61.0,-26.0,99.0
GW200208_130117,37.7,-6.2,9.3,27.4,-7.3,6.3,10.8,-0.4,0.3,2230.0,-850.0,1020.0,-0.07,-0.27,0.21,65.3,-6.8,8.1,27.7,-3.1,3.7,0.4,-0.14,0.15,0.00031,0.99,62.5,-6.4,7.5
GW200202_154313,10.1,-1.4,3.5,7.3,-1.7,1.1,10.8,-0.4,0.2,410.0,-160.0,150.0,0.04,-0.06,0.13,17.58,-0.67,1.78,7.49,-0.2,0.24,0.09,-0.03,0.03,1e-05,0.99,16.76,-0.66,1.87
GW200129_065458,34.5,-3.1,9.9,29.0,-9.3,3.3,26.8,-0.2,0.2,890.0,-370.0,260.0,0.11,-0.16,0.11,63.3,-3.4,4.5,27.2,-2.3,2.1,0.18,-0.07,0.05,1e-05,0.99,60.2,-3.2,4.1
