name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190519_153544,65.1,-11.0,10.8,40.8,-12.7,11.5,15.9,-0.3,0.2,2600.0,-960.0,1720.0,0.33,-0.24,0.2,105.6,-13.9,14.4,44.3,-7.5,6.8,0.45,-0.15,0.24,1e-05,1.0,100.0,-12.9,13.0
GW190517_055101,39.2,-9.2,13.9,24.0,-7.9,7.4,10.8,-0.6,0.5,1790.0,-880.0,1750.0,0.49,-0.28,0.21,64.1,-9.8,9.9,26.5,-4.2,4.0,0.33,-0.15,0.26,0.00035,1.0,60.1,-9.4,9.9
GW190514_065416,40.9,-9.3,17.3,28.4,-10.1,10.0,8.0,-0.6,0.3,3890.0,-2070.0,2610.0,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,0.64,-0.3,0.33,2.8,0.76021,66.4,-11.5,19.0
GW190513_205428,36.0,-9.7,10.6,18.3,-4.7,7.4,12.5,-0.4,0.3,2210.0,-810.0,990.0,0.16,-0.22,0.29,54.4,-6.7,9.3,21.8,-2.2,3.8,0.4,-0.13,0.14,1.3e-05,0.99998,52.1,-6.6,8.8
GW190512_180714,23.2,-5.6,5.6,12.5,-2.6,3.5,12.7,-0.4,0.3,1460.0,-590.0,510.0,0.02,-0.14,0.13,35.8,-3.5,4.1,14.6,-0.9,1.4,0.28,-0.1,0.08,1e-05,1.0,34.3,-3.4,4.1
GW190503_185404,41.3,-7.7,10.3,28.3,-9.2,7.5,12.2,-0.4,0.2,1520.0,-600.0,630.0,-0.05,-0.3,0.23,69.4,-8.6,10.1,29.3,-4.4,4.5,0.29,-0.1,0.1,1e-05,1.0,66.5,-7.9,9.4
GW190426_190642,105.5,-24.1,45.3,76.0,-36.5,26.2,8.7,-0.6,0.4,4580.0,-2280.0,3400.0,0.23,-0.41,0.42,182.3,-35.7,40.2,76.0,-17.4,19.1,0.73,-0.32,0.41,4.1,0.75053,172.9,-33.6,37.7
GW190425,2.1,-0.4,0.5,1.3,-0.2,0.3,12.4,-0.4,0.4,150.0,-60.0,80.0,0.07,-0.05,0.07,3.4,-0.1,0.3,1.44,-0.02,0.02,0.03,-0.01,0.02,0.034,0.78349,,,
GW190421_213856,42.0,-7.4,10.1,32.0,-9.8,8.3,10.7,-0.4,0.2,2590.0,-1240.0,1490.0,-0.1,-0.27,0.21,73.6,-9.5,13.2,31.4,-4.6,6.0,0.45,-0.19,0.21,0.0028,0.99792,70.5,-9.0,12.4
GW190413_134308,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,3800.0,-1830.0,2480.0,-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,0.62,-0.26,0.32,0.18,0.99058,78.0,-11.5,16.1
GW190413_052954,33.7,-6.4,10.4,24.2,-7.0,6.5,9.0,-0.8,0.4,3320.0,-1400.0,1910.0,-0.04,-0.32,0.27,58.0,-7.8,10.6,24.5,-3.4,4.6,0.56,-0.21,0.25,0.82,0.9275,55.5,-7.3,10.1
GW190412,27.7,-6.0,6.0,9.0,-1.4,2.0,19.8,-0.3,0.2,720.0,-220.0,240.0,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,0.15,-0.04,0.04,1e-05,1.0,35.6,-4.5,4.8
GW190408_181802,24.8,-3.5,5.4,18.5,-4.0,3.3,14.6,-0.3,0.2,1540.0,-620.0,440.0,-0.03,-0.17,0.13,43.4,-3.0,4.2,18.5,-1.2,1.9,0.29,-0.11,0.07,1e-05,1.0,41.4,-2.9,3.9
GW190403_051519,85.0,-33.0,27.8,20.0,-8.4,26.3,7.6,-1.1,0.6,8280.0,-4290.0,6720.0,0.68,-0.43,0.16,106.6,-23.6,26.7,34.0,-8.4,15.1,1.18,-0.53,0.73,7.7,0.60924,102.2,-24.3,26.3
GW170823,38.3,-6.2,9.5,29.0,-7.8,6.5,12.2,-0.3,0.2,1970.0,-930.0,840.0,0.05,-0.22,0.21,67.0,-7.2,10.3,28.6,-3.3,4.5,0.36,-0.15,0.13,,,63.9,-6.8,9.6
GW170818,34.8,-4.2,6.5,27.6,-5.1,4.1,12.0,-0.4,0.3,1080.0,-410.0,430.0,-0.06,-0.22,0.19,62.5,-4.6,5.3,26.8,-2.0,2.3,0.21,-0.07,0.07,,,59.7,-4.2,4.9
GW170817,1.46,-0.1,0.12,1.27,-0.09,0.09,33.0,,,40.0,-15.0,7.0,0.0,-0.01,0.02,,,,1.186,-0.001,0.001,0.01,0.0,0.0,1e-07,1.0,2.8,,
GW170814,30.9,-3.3,5.4,24.9,-4.0,3.0,17.7,-0.3,0.2,610.0,-230.0,160.0,0.08,-0.12,0.13,56.0,-3.0,3.5,24.1,-1.2,1.4,0.13,-0.05,0.03,,,53.2,-2.7,3.2
GW170809,34.1,-5.3,8.0,24.2,-5.3,4.8,12.8,-0.3,0.2,1070.0,-380.0,310.0,0.07,-0.17,0.17,58.5,-3.9,5.3,24.8,-1.6,2.2,0.21,-0.07,0.05,,,55.7,-3.6,5.0
GW170729,54.7,-12.8,12.7,30.2,-10.2,11.9,10.7,-0.5,0.4,2490.0,-1230.0,1690.0,0.29,-0.33,0.25,84.4,-10.9,15.0,34.6,-5.7,7.0,0.44,-0.19,0.24,,,80.3,-10.2,13.5
GW170608,10.6,-1.4,4.0,7.8,-1.9,1.2,15.3,-0.3,0.2,340.0,-130.0,120.0,0.05,-0.05,0.13,18.5,-0.6,2.0,7.9,-0.2,0.2,0.07,-0.03,0.03,,,17.7,-0.6,2.1
GW170104,28.7,-4.2,6.6,20.8,-4.7,4.1,13.8,-0.3,0.2,1110.0,-480.0,390.0,-0.04,-0.19,0.15,49.6,-3.6,4.7,21.1,-1.5,2.0,0.22,-0.09,0.07,,,47.5,-3.4,4.5
GW151226,14.2,-3.6,11.1,7.5,-2.8,2.4,12.7,-0.4,0.3,460.0,-200.0,160.0,0.2,-0.08,0.23,21.7,-1.6,8.3,8.9,-0.3,0.3,0.1,-0.04,0.03,,,20.7,-1.6,8.6
GW151012,24.8,-6.3,14.5,13.6,-4.9,4.5,9.3,-0.5,0.3,1000.0,-490.0,640.0,0.12,-0.21,0.28,38.8,-4.7,10.3,15.6,-1.5,2.3,0.2,-0.09,0.11,,,37.1,-4.6,10.6
GW150914,34.6,-2.6,4.4,30.0,-4.6,2.9,26.0,-0.2,0.1,470.0,-160.0,140.0,-0.04,-0.14,0.12,64.5,-3.2,3.7,27.9,-1.5,1.7,0.1,-0.03,0.03,,,61.5,-2.9,3.4
